birth_place,discipline,Count
NOTTINGHAM,Sailing,2
NOTTINGHAM,Weightlifting,2
NOVA TRENTO,Volleyball,2
"MINNEAPOLIS, MN",Ice Hockey,2
NOVOSIBIRSK,Fencing,2
"MISSION VIEJO, CA",Swimming,2
NUMAZU,Table Tennis,2
"MISSISSAUGA, ON",Baseball/Softball,2
"MISSISSAUGA, ON",Canoe Sprint,2
"MISSOULA, MT",Swimming,2
"OCEANSIDE, CA",Bobsleigh,2
ODENSE,Badminton,2
ODENSE,Cycling Track,2
ODESSA,Karate,2
MEIZHOU,Badminton,2
MAILUU-SUU,Wrestling,2
"MOBILE, AL",Swimming,2
"MELBOURNE, VIC",Tennis,2
ORCE,Athletics,2
ORISTANO,Rowing,2
"MELBOURNE, VIC",Athletics,2
OSLO,Athletics,2
OSLO,Beach Volleyball,2
MAGHERALIN,Swimming,2
HEPPENHEIM,Canoe Sprint,2
OSLO,Nordic Combined,2
GOIRLE,Speed Skating,2
DREUX,Basketball,2
OULU,Ice Hockey,2
PAISLEY,Cycling Track,2
BUCHAREST,Swimming,2
PANIPAT,Athletics,2
PAPAKURA,Rugby Sevens,2
MEDJUGORJE,Tennis,2
PARIS,Fencing,2
GOIRLE,Artistic Swimming,2
GODOLLO,Fencing,2
KARUIZAWA,Figure Skating,2
PARIS,Volleyball,2
PAU,Basketball,2
PAVIA,Swimming,2
PEC,Judo,2
PENZA,3x3 Basketball,2
PENZA,Artistic Gymnastics,2
PERTH,Curling,2
"BROWNSBURG, IN",Cycling Track,2
"PERTH, WA",Water Polo,2
PETROPAVLOVSK-KAMCHATSKY,Archery,2
"MOGI DAS CRUZES, SP",Judo,2
PINAR DEL RIO,Wrestling,2
PIRNA,Bobsleigh,2
"PITTSBURGH, PA",Swimming,2
MONCALIERI,Short Track Speed Skating,2
"DOVER, OH",Swimming,2
POINTE-A-PITRE,Judo,2
POINTE-A-PITRE (GUA),Judo,2
POITIERS,Volleyball,2
POLTAVA,Boxing,2
MONTMORENCY,Judo,2
PONTEDERA,Fencing,2
PORIRUA,Rugby Sevens,2
MELILLA,Football,2
"PORTLAND, OR",Athletics,2
"PORTLAND, OR",Volleyball,2
"MONTREAL, QC",Diving,2
"PRINCE GEORGE, BC",Snowboard,2
PUYO,Weightlifting,2
"GLENDALE, CA",Basketball,2
QITAIHE,Short Track Speed Skating,2
QUANZHOU,Weightlifting,2
"QUEENS, NY",Fencing,2
"QUZHOU, ZHEJIANG",Swimming,2
RACIBORZ,Athletics,2
"MONTREAL, QC",Short Track Speed Skating,2
RANDBURG,Rowing,2
"GLENDALE, AZ",Archery,2
RENKUM,Hockey,2
BRNO,Shooting,2
RENNES,Volleyball,2
"RENO, NV",Swimming,2
"RICHMOND, BC",Athletics,2
"RICHMOND, VA",Swimming,2
RIMINI,Shooting,2
"RIMOUSKI, QC",Weightlifting,2
RINGERIKE,Biathlon,2
RIO DE JANEIRO,Artistic Gymnastics,2
"DOUGLASSVILLE, PA",Swimming,2
"MONTREAL, QC",Swimming,2
RIS-ORANGIS,Basketball,2
RIVNE,Swimming,2
RIVOLI,Rhythmic Gymnastics,2
"ROCKVILLE, MD",Wrestling,2
"ROMA, QLD",Swimming,2
ROME,Fencing,2
ROME,Rhythmic Gymnastics,2
ROME,Sailing,2
MONZA,Fencing,2
"MENDHAM, NJ",Swimming,2
ROSENHEIM,Equestrian,2
MEDELLIN,Cycling BMX Racing,2
ROTTERDAM,Hockey,2
ROTTERDAM,Rowing,2
ROUBAIX,Equestrian,2
ROVERETO,Sailing,2
ROYAN,Sailing,2
ROYAN,Volleyball,2
RUB?,Water Polo,2
RUGBY,Canoe Slalom,2
KONGSVINGER,Speed Skating,2
BRISTOL,Artistic Swimming,2
SACHKHERE,Weightlifting,2
SAINT MARTIN D'HERES,Biathlon,2
DORDRECHT,Hockey,2
SAINT-MARTIN-D?HERES,Biathlon,2
SAINT-QUENTIN,Basketball,2
SAINT-RAPHAEL,Volleyball,2
"SAINT-ROMUALD, QC",Snowboard,2
SAINT-SEBASTIEN-SUR-LOIRE,Handball,2
SAINTE-CATHERINE-LES-ARRAS,Basketball,2
"SALT LAKE CITY, UT",Figure Skating,2
SALVADOR,Boxing,2
"BRISBANE, QLD",Hockey,2
SAMEDAN,Alpine Skiing,2
"SAN ANTONIO, TX",Athletics,2
SAN DIEGO,Cycling Track,2
"SAN DIEGO, CA",Athletics,2
MOSCOW,Biathlon,2
"SAN FRANCISCO, CA",Fencing,2
"MENLO PARK, CA",Football,2
"MCALESTER, OK",Volleyball,2
SAN MIGUEL DE TUCUMAN,Hockey,2
SANDNES,Athletics,2
MATSUDO,Wrestling,2
SANTIAGO,Baseball/Softball,2
DONGLAI,Shooting,2
SANTO ANDRE,Volleyball,2
DONGEN,Athletics,2
"BRIDGEPORT, CT",Football,2
SAO VICENTE,Judo,2
SARATOV,Biathlon,2
SCARBOROUGH,Equestrian,2
GLASGOW,Triathlon,2
MOSCOW,Judo,2
SCHLEMA,Biathlon,2
"SCOTTSDALE, AZ",Skateboarding,2
SENDAI,Table Tennis,2
SEOUL,Golf,2
MERANO,Snowboard,2
DOHA,Athletics,2
GLASGOW,Rowing,2
GISBORNE,Canoe Sprint,2
SHANGHAI,Artistic Swimming,2
SHANGHAI,Diving,2
"MERRILLVILLE, IN",Athletics,2
SHANTOU,Diving,2
SHAOSHAN,Wrestling,2
SHAOXING,Swimming,2
DNIPRO,Artistic Gymnastics,2
"SHERBROOKE, QC",Short Track Speed Skating,2
LE MANS,Basketball,2
SHIZUOKA,Judo,2
SIENA,Fencing,2
"MOUNT KISCO, NY",Equestrian,2
SIVAS,Wrestling,2
SKIBBEREEN,Rowing,2
SKIVE,Handball,2
SKJERN,Handball,2
SKOFJA LOKA,Ski Jumping,2
SLOVENJ GRADEC,Sport Climbing,2
SOBORG,Handball,2
MATANZAS,Boxing,2
SOLA,Handball,2
SONDALO,Short Track Speed Skating,2
MOZGHA,Biathlon,2
SONIPAT,Hockey,2
"SOSNOGORSK, KOMI",Cross-Country Skiing,2
HEIDELBERG,Athletics,2
"SOUTH BRISBANE, QLD",Swimming,2
SPLIT,Shooting,2
SPLIT,Water Polo,2
SPOLETO,Rhythmic Gymnastics,2
MUGANLI,Wrestling,2
"ST. CATHARINES, ON",Rowing,2
"ST. LOUIS, MO",Basketball,2
"ST. PAUL, MN",Cross-Country Skiing,2
ST. PETERSBURG,Figure Skating,2
STANS,Shooting,2
STAVANGER,Handball,2
MULHOUSE,Handball,2
STOCKTON-ON-TEES,Athletics,2
STORD,Beach Volleyball,2
STRANRAER,Curling,2
STRASBOURG,Fencing,2
MULHOUSE,Volleyball,2
LIVRY-GARGAN,Triathlon,2
HEERENVEEN,Speed Skating,2
MUNICH,Alpine Skiing,2
BRATISLAVA,Ice Hockey,2
"SUNNYBANK, QLD",Swimming,2
SURAT THANI,Taekwondo,2
SUWON,Table Tennis,2
"SYDNEY, NSW",Snowboard,2
MUNICH,Luge,2
"HAYWARD, CA",Basketball,2
"SYRACUSE, NY",Basketball,2
SZEGED,Short Track Speed Skating,2
"DENVER, CO",Wrestling,2
TAIPEI,Boxing,2
"DENVER, CO",Volleyball,2
TAMPERE,Ice Hockey,2
TASHKENT,Wrestling,2
TAUPO,Triathlon,2
BRASILIA,Football,2
"MURDOCH, WA",Swimming,2
TERRASSA,Football,2
TERRASSA,Water Polo,2
MYKOLAYIV,Fencing,2
THE HAGUE,Hockey,2
THE HAGUE,Rowing,2
THESSALONIKI,Athletics,2
THESSALONIKI,Rowing,2
"DALLAS, TX",Shooting,2
TIANJIN,Badminton,2
TIRANO,Short Track Speed Skating,2
TIRGU NEAMT,Rowing,2
TOBA,Fencing,2
MARSEILLE,Handball,2
NAGOYA,Figure Skating,2
TOKYO,Baseball/Softball,2
TOKYO,Fencing,2
TOKYO,Figure Skating,2
LE CHESNAY,Judo,2
TOKYO,Skateboarding,2
"BRANDON, MB",Ice Hockey,2
TORNIO,Ice Hockey,2
"TORONTO, ON",Athletics,2
NAMUR,Athletics,2
NANJING,Artistic Swimming,2
"TORONTO, ON",Rowing,2
NAPIER,Rowing,2
LONDON,Sailing,2
"TORRANCE, CA",Volleyball,2
BRAMMING,Handball,2
TOURCOING,Volleyball,2
TOYOHASHI,Basketball,2
TRABZON,Boxing,2
TRENCIN,Ice Hockey,2
TRENTO,Short Track Speed Skating,2
"TRENTON, NJ",Athletics,2
TROLLHATTAN,Speed Skating,2
TRONDHEIM,Handball,2
HAVANA,Boxing,2
"TULSA, OK",Athletics,2
MEXICO CITY,Diving,2
"MARIETTA, GA",Football,2
UDINE,Fencing,2
NARVIK,Handball,2
ULAANBAATAR,Judo,2
ULSAN,Taekwondo,2
ULSTEINVIK,Athletics,2
NARYAN-MAR,Cross-Country Skiing,2
MANILA,Artistic Gymnastics,2
LONDON,Rugby Sevens,2
UZICE,Volleyball,2
VALENCIA,3x3 Basketball,2
HAVANA,Athletics,2
NASSAU,Athletics,2
VANTAA,Ice Hockey,2
NETANYA,Judo,2
VATRA MOLDOVITEI,Rowing,2
VAXJO,Sailing,2
VELSEN-ZULD,Athletics,2
VERBANIA,Cycling Road,2
VESZPREM,Marathon Swimming,2
VIANA DO CASTELO,Cycling Track,2
VICTORIA,Hockey,2
"VICTORIA, BC",Rowing,2
VIENNA,Ski Jumping,2
VILEYKA,Trampoline Gymnastics,2
VILLACH,Snowboard,2
"NEW BRUNSWICK, NJ",Athletics,2
VLEUTEN,Cycling Road,2
LUGANO,Alpine Skiing,2
MANAWATU,Rugby Sevens,2
VOZHEGA,Cross-Country Skiing,2
WARTENA,Sailing,2
"WASHINGTON, DC",Basketball,2
GENTOFTE,Sailing,2
NEW PLYMOUTH,Rugby Sevens,2
WELLINGTON,Rowing,2
WELLINGTON,Rugby Sevens,2
WELWYN GARDEN CITY,Athletics,2
"IPSWICH, QLD",Swimming,2
WESTMORELAND,Athletics,2
"WEYMOUTH, MA",Football,2
"WHEATON, IL",Volleyball,2
WIGAN,Athletics,2
GENOA,Artistic Gymnastics,2
"WINNIPEG, MB",Football,2
MEXICO CITY,Football,2
LONDON,Modern Pentathlon,2
WOLVERHAMPTON,Athletics,2
"NEW YORK, NY",Football,2
"WORCESTER, MAS",Artistic Gymnastics,2
XIANGYANG,Diving,2
XIANTAO,Diving,2
XUZHOU,Freestyle Skiing,2
BOTOSANI,Rowing,2
XUZHOU,Table Tennis,2
YAMAGUCHI,Judo,2
YAOUNDE,Basketball,2
YEREVAN,Artistic Gymnastics,2
BOSCOTRECASE,Artistic Gymnastics,2
YOKKAICHI,Wrestling,2
"YORK, PA",Swimming,2
HARROGATE,Diving,2
MALACCA,Badminton,2
DAVAO,Boxing,2
"NEWARK, DE",Athletics,2
ADELAIDE,Cycling Track,2
BORDEAUX,Basketball,2
AISNE,Judo,2
"CORAL SPRINGS, FL",Athletics,1
CORBIE,Archery,1
"CORONA, CA",Ice Hockey,1
"COSTA MESA, CA",Beach Volleyball,1
COVENTRY,Judo,1
CRETEIL,Handball,1
CUCUTA,Artistic Gymnastics,1
CULEMBORG,Short Track Speed Skating,1
CURITIBA,Artistic Gymnastics,1
CURITIBA,Skateboarding,1
"CYPRESS, TX",Baseball/Softball,1
DACHAU,Rowing,1
DAEGU,Badminton,1
DAEGU,Judo,1
DAEGU,Modern Pentathlon,1
DAEGU,Shooting,1
DAEJEON,Short Track Speed Skating,1
DAEJON,Fencing,1
DALEN,Rowing,1
"DALLAS, TX",Basketball,1
"DANA POINT, CA",Swimming,1
DANDONG,Boxing,1
DANYANG,Shooting,1
DARMSTADT,Judo,1
"DARWIN, NT",Hockey,1
"DAVIS, CA",Skateboarding,1
DAZHOU,Artistic Swimming,1
"DEARBORN, MI",Wrestling,1
"DECATUR, GA",Baseball/Softball,1
"DEERFIELD, ILL",Artistic Gymnastics,1
"DELAFIELD, WI",Ice Hockey,1
